Rank,Handle,Score,Problems Solved
1,-Manasvi-,8954.0,6
2,sheyasutaka,7011.0,6
3,MYFJCHX,5517.0,6
4,Gnilgnef,5351.0,6
5,Sanada-Masayuki,5323.0,6
6,Extr,5292.0,6
7,the_problem,5171.0,6
8,Jellyprx,4975.0,6
9,Hirasawa,4757.0,6
10,Napoleon,4285.0,6
11,liyujiangwx,4166.0,6
12,Ranz,4148.0,6
13,Shu.Rong,4131.0,6
14,akibb123,4126.0,6
14,sBetter,4126.0,6
16,chy_2011,4120.0,6
17,mion_sonozaki,4118.0,6
18,AryRDW,4110.0,6
19,Lets_end_this_shall_we,4103.0,6
20,gaosichen,4091.0,6
21,Hanyu_23,4090.0,6
22,waste_f,4089.0,6
23,meowmeow_,4088.0,6
24,Guchenxi0971,4083.0,6
25,3month7,4082.0,6
26,baijiaohu_fan,4080.0,6
27,zhy1206,4078.0,6
28,Dulustan,4072.0,6
29,N29,4071.0,6
30,valen0k,4068.0,6
31,Tyx2019,4059.0,6
32,wxy2010,4057.0,6
33,Nienie3.0,4055.0,6
34,Hasanv,4050.0,6
35,harurun4635,4043.0,6
36,candy34,4036.0,6
37,yukihasui439,4034.0,6
38,sqrteipi,4033.0,6
39,_timelord,4027.0,6
40,quietpan,4024.0,6
41,hundunlilun1,4018.0,6
42,MysteriousAdvancedSystem,4017.0,6
43,itadrias,4014.0,6
44,Symbolize,4013.0,6
44,rayany10,4013.0,6
46,WhileTrueRP,4011.0,6
47,tybbs,4008.0,6
47,manish47,4008.0,6
49,lq5,4006.0,6
50,Golem__,4001.0,6
50,liujinrui,4001.0,6
52,arshad_shahzeb,4000.0,6
52,starrykiller,4000.0,6
52,swapnil159,4000.0,6
52,Alir3za.Zar3,4000.0,6
56,lucky__389,3993.0,6
57,VanshRA,3990.0,6
58,RX93,3989.0,6
59,MayankSavaliya,3986.0,6
60,ortsac,3985.0,6
60,bubbarob19,3985.0,6
62,StefanSebez,3977.0,6
63,liyelin,3976.0,6
64,_luqyou_,3973.0,6
64,libantian,3973.0,6
66,choyj416,3972.0,6
66,Ha7NBaTop,3972.0,6
68,ksuksuksu,3968.0,6
69,guominzhengdang,3967.0,6
69,Vlad_Zakh,3967.0,6
71,gakshat468,3966.0,6
72,Sparsely,3965.0,6
73,johnsmith0xcf,3962.0,6
74,RestlessPsycho,3960.0,6
75,Leeisateam,3959.0,6
76,Bnahmad23,3958.0,6
77,Flying_centipede,3957.0,6
77,Alwoosh,3957.0,6
79,xcyyyyyy,3953.0,6
80,donaldqian0712,3952.0,6
81,naniim,3951.0,6
82,ViratKohliGoat,3949.0,6
82,wprqxr,3949.0,6
84,jzcrq,3948.0,6
85,milk_81,3946.0,6
86,sidekick257,3944.0,6
86,ZhiGeBaiShui,3944.0,6
88,Yash9890,3943.0,6
88,aniketabhiraj2004,3943.0,6
90,3615711462.,3942.0,6
91,purupuddu,3941.0,6
91,JeffLegendPower,3941.0,6
93,unfinity,3938.0,6
93,DC17,3938.0,6
95,Nephren_Sakura,3937.0,6
95,Delovue,3937.0,6
97,Nahida__,3935.0,6
98,1Cyan1,3931.0,6
98,123gjweq2,3931.0,6
100,qinfengkl,3925.0,6
101,remake_xhgua,3924.0,6
102,RNG,3923.0,6
103,LDM0116,3921.0,6
104,cike_bilibili,3920.0,6
105,lishan4688,3919.0,6
106,Michael533,3918.0,6
107,Latibule,3917.0,6
108,hugo4CF,3916.0,6
108,ThiagoMM,3916.0,6
110,b02,3914.0,6
110,FredBill,3914.0,6
110,aash8a9,3914.0,6
113,Hiraethsoul,3912.0,6
113,eggx50000,3912.0,6
115,yatharthsinghal1,3911.0,6
116,csizmiki,3910.0,6
117,dev_6969,3906.0,6
118,yookwi,3903.0,6
119,GunSJ_2,3899.0,6
120,SashaT9,3898.0,6
121,jyyy,3897.0,6
121,ren_fan,3897.0,6
121,khangai11,3897.0,6
124,zfxyy,3896.0,6
125,farica,3895.0,6
126,mouhua,3894.0,6
127,lixp,3893.0,6
127,cxlian,3893.0,6
129,lfyszy,3891.0,6
130,ChatGPT5.0,3890.0,6
130,DOZ,3890.0,6
130,popossible,3890.0,6
133,Justinshao,3888.0,6
133,liaojiqing,3888.0,6
135,NapNa,3886.0,6
136,Shri_874,3884.0,6
137,chota_don_v2,3883.0,6
138,aditya.pca.25,3882.0,6
139,sunnygreen,3881.0,6
140,749291,3880.0,6
140,Sloth_junkie,3880.0,6
140,srujanwadkar13,3880.0,6
143,2021ChengHuaide,3879.0,6
144,mnasser02,3876.0,6
145,tifv,3874.0,6
145,Mini_PEKKA,3874.0,6
145,lftroq,3874.0,6
148,Horka,3873.0,6
148,-tsukasa-,3873.0,6
150,RGB_ICPC8,3872.0,6
150,redded,3872.0,6
150,Halberd_Cease,3872.0,6
153,masa.dobric,3871.0,6
154,Today03,3869.0,6
154,2021YuanZiJun,3869.0,6
154,limabeans,3869.0,6
154,st20241907,3869.0,6
158,BrehamPie,3868.0,6
159,Aria_Math,3864.0,6
160,Online_Judge_SMOJ,3863.0,6
161,InfinityX,3862.0,6
162,Orango,3861.0,6
163,Heshu,3858.0,6
164,Mukundan314,3857.0,6
165,damianides1000101,3855.0,6
166,NeverSpot,3853.0,6
166,Pashteticus,3853.0,6
166,GuillemBC,3853.0,6
169,Amaciyuo,3852.0,6
169,starback24,3852.0,6
171,zorox_cf,3850.0,6
172,Z00GlE,3848.0,6
172,lightjudge,3848.0,6
174,six-floor-slip-liu,3847.0,6
175,yzkkai,3844.0,6
176,h2rsh,3843.0,6
177,keep_of_silence,3842.0,6
178,RobinFromTheHood,3840.0,6
178,Leonardo_Paes,3840.0,6
180,flowing_boat,3839.0,6
180,dengrk,3839.0,6
182,askr_58,3838.0,6
183,wangwenhan1,3837.0,6
184,xwysyy,3835.0,6
184,Gaurav_Dawra,3835.0,6
184,qdsdsy,3835.0,6
187,go_next,3834.0,6
188,coindarw,3833.0,6
188,Haz_Begonia,3833.0,6
190,I_love_maxaxaxaxa,3832.0,6
191,potalov.m,3830.0,6
191,RegenTrophen,3830.0,6
193,bac_h,3829.0,6
194,target_igm,3827.0,6
195,Kosya,3826.0,6
196,FengZiShang,3822.0,6
196,aleksy,3822.0,6
198,Pengdehuai,3819.0,6
199,-Shu-,3818.0,6
199,adiyer,3818.0,6
201,ywc...,3815.0,6
201,genyi_sith,3815.0,6
201,2020linweitong,3815.0,6
201,Dragnoid99,3815.0,6
205,CipherNova,3813.0,6
206,lyh3.14,3810.0,6
207,dipu_2,3807.0,6
208,de_coding_life,3805.0,6
208,MongyTrad,3805.0,6
210,Elephant6,3803.0,6
211,maxrgby,3802.0,6
212,2314568,3801.0,6
213,vijay_katari23,3798.0,6
214,pupsicek,3796.0,6
215,Msents,3794.0,6
215,hesham,3794.0,6
215,YuvrajSharma,3794.0,6
218,MrAndria,3793.0,6
219,xiansanqi,3791.0,6
220,drizzle_codes,3788.0,6
221,0n1ycre,3783.0,6
222,Neil_Qian,3782.0,6
223,alireza2856,3781.0,6
223,C_Z_A116,3781.0,6
223,_believe,3781.0,6
223,tanmuling0429,3781.0,6
227,zhoujingchen,3780.0,6
227,ydzr_China,3780.0,6
229,Maskrio,3778.0,6
230,_2__0,3777.0,6
231,ydfqwangchen,3775.0,6
232,lcf12345,3773.0,6
232,NirbhayPaliwal,3773.0,6
234,Amir1386n,3772.0,6
234,Mayornaise,3772.0,6
234,shengdanbucuo,3772.0,6
237,sunhokim,3771.0,6
237,Ferrriccc,3771.0,6
239,Filberte,3770.0,6
