Rank,Handle,Score,Problems Solved
1,jiangly,8227.0,6
2,ragam_ganesh_babu,6208.0,6
3,maroonrk,6183.0,6
4,potato167,5945.0,6
5,jeroenodb,5884.0,6
6,kotatsugame,5804.0,6
7,dorijanlendvaj,4569.0,6
8,Sugar_fan,4421.0,6
9,ksun48,4418.0,6
10,orzdevinwang,4387.0,6
11,jiangbowen,4353.0,6
12,Rubikun,4343.0,6
13,yuto1115,4322.0,6
14,crazy_sea,4276.0,6
15,skip2004,4218.0,6
16,Kevin114514,4158.0,6
17,251Sec,4144.0,6
18,maspy,4133.0,6
19,Morphymorphymorphy,4084.0,6
20,BurnedChicken,4065.0,6
21,ainta,4061.0,6
22,Kude,4060.0,6
23,umbrella-leaf,4058.0,6
24,greatpaul2008,4043.0,6
25,Swistakk,4037.0,6
26,Amoo_Safar,3996.0,6
27,hos.lyric,3992.0,6
28,244mhq,3979.0,6
29,CJ-_zhuyifan,3967.0,6
30,xuanxuan001,3947.0,6
31,briX1210,3908.0,6
32,propane,3881.0,6
33,-Eternity-,3867.0,6
34,oleh1421,3863.0,6
35,wifiii,3820.0,6
36,antontrygubO_o,3817.0,6
37,dreamoon_love_AA,3816.0,6
37,Kite_kuma,3816.0,6
39,riano_,3791.0,6
40,Karuna,3781.0,6
41,BigBag,3769.0,6
42,Sol1,3741.0,6
43,Keshi,3703.0,6
44,StarSilk,3648.0,6
45,dXqwq,3644.0,6
46,shobonvip,3642.0,6
47,qiuzx,3626.0,6
48,sharaelong,3625.0,6
49,tute7627,3623.0,6
50,_l_l_,3622.0,6
51,YocyCraft,3523.0,6
52,Noam527,3520.0,6
53,SanguineChameleon,3453.0,6
54,hhoppitree,3452.0,6
55,snuke,3429.0,6
56,lexiyvv,3418.0,6
57,Appleblue17,3405.0,6
58,le0n,3399.0,6
59,Graygoo_401,3343.0,6
60,b6e0,3331.0,6
61,taeyeon_ss,3328.0,6
62,Dominater069,3324.0,6
63,OdtreePrince,3256.0,6
64,zjy2008,3245.0,6
65,Qwerty1232,3126.0,6
66,A_G,3094.0,6
67,nocap,3018.0,6
68,cmk666,3003.0,6
69,turmax,2793.0,6
70,ItamarNir,2738.0,6
71,sansen,2706.0,6
72,siganai,2694.0,6
73,asdsasd,2640.0,6
74,Nyaan,2634.0,6
75,RDDCCD,2630.0,6
75,Waldi,2630.0,6
77,-1e11,2618.0,6
77,Anonyme,2618.0,6
79,leaf1415,2616.0,6
80,fuppy,2608.0,6
81,cn449,2606.0,6
82,Sulfox,2598.0,6
83,toam,2586.0,6
84,gloria_mundi,2584.0,6
85,limanjun,2582.0,6
86,mees,2580.0,6
87,win114514,2560.0,6
87,AmirAli-Asgari,2560.0,6
89,DDUDUDDUDU,2558.0,6
90,Sana,2556.0,6
91,AndreySergunin,2542.0,6
92,TKT_YI,2540.0,6
93,sammyuri,2532.0,6
94,abruce,2527.0,6
95,chinerist,2520.0,6
96,Xylenox,2518.0,6
97,wery0,2516.0,6
98,LuCpp,2512.0,6
98,ttamx,2512.0,6
100,ymmparsa,2510.0,6
100,NKheyuxiang,2510.0,6
102,Thienu,2506.0,6
103,Crystally,2496.0,6
104,EasonTAO,2490.0,6
104,Kaey,2490.0,6
106,RigBuhBuh,2480.0,6
107,wukaichen888,2476.0,6
107,KrK,2476.0,6
109,anthonyaaab123,2472.0,6
110,shinchankosen,2470.0,6
110,Giga_Cronos,2470.0,6
110,Daniel777,2470.0,6
113,Focalors,2462.0,6
114,Fido_Puppy,2446.0,6
114,WLZ,2446.0,6
116,balakrishnan,2438.0,6
117,Numbering,2436.0,6
117,sv1shan,2436.0,6
119,thenymphsofdelphi,2432.0,6
120,Farhod,2430.0,6
120,chaeyihwan,2430.0,6
122,satashun,2428.0,6
123,Ilya_MSU,2424.0,6
124,lotusblume,2422.0,6
124,gmusya,2422.0,6
126,fastmath,2412.0,6
127,BlueBottle,2408.0,6
128,ORzyzRO,2404.0,6
129,rama_pang,2402.0,6
130,FIorian,2398.0,6
130,OIer_kzc,2398.0,6
132,8Conan8,2396.0,6
132,Misuki,2396.0,6
134,valeriu,2394.0,6
135,HugeWide,2390.0,6
135,EthanKim8683,2390.0,6
137,wutongchun,2388.0,6
137,__jk__,2388.0,6
139,LMydd0225,2382.0,6
140,Golovanov399,2380.0,6
140,qwerasdfzxcl,2380.0,6
142,min_inf,2374.0,6
143,kookeudas,2366.0,6
143,akua,2366.0,6
145,noimi,2364.0,6
146,complexor,2362.0,6
147,fredrik.w.ekholm,2360.0,6
148,kizen,2352.0,6
148,JoesSR,2352.0,6
148,Unlimited_zero,2352.0,6
151,paulzrm,2346.0,6
152,Sofapuden,2342.0,6
153,sstrong,2340.0,6
153,wnmrmr,2340.0,6
155,piaoyun,2334.0,6
156,Peter-007,2330.0,6
157,Zanite,2326.0,6
158,MisterReaper,2324.0,6
158,ivan.alexeev,2324.0,6
160,Hyperbolic,2320.0,6
161,cpchenpi,2318.0,6
162,Virv,2316.0,6
163,boleyn.su,2308.0,6
164,Rewenix,2306.0,6
164,Hevix,2306.0,6
166,shiven,2302.0,6
167,-is-this-fft-,2300.0,6
168,penguinman,2298.0,6
168,KingOfDiamonds,2298.0,6
168,_acsm_,2298.0,6
171,Morollcinna,2296.0,6
172,noya2,2294.0,6
173,steven144,2284.0,6
174,Serendipity__,2280.0,6
175,Sirantic,2278.0,6
176,qwef_,2272.0,6
176,EJIC_B_KEDAX,2272.0,6
178,FelixMP,2270.0,6
178,machine_solution,2270.0,6
180,sunkuangzheng,2266.0,6
181,toniskrijelj,2260.0,6
182,Meloric,2258.0,6
183,HomuraAkemi,2256.0,6
184,dieselhuang,2254.0,6
184,systemStart,2254.0,6
186,nigus,2252.0,6
187,Irmuun.Ch,2250.0,6
188,Trial_light,2248.0,6
189,woxihuanni,2246.0,6
190,QwertyPi,2244.0,6
191,physics0523,2242.0,6
192,xuyifei1,2228.0,6
193,Temmie,2226.0,6
193,Chenly,2226.0,6
195,ofrankel,2224.0,6
195,cerberus97,2224.0,6
195,dannyboy20031204,2224.0,6
