Rank,Handle,Score,Problems Solved
1,jiangly,7177.0,7
2,neal,6243.0,7
3,SSerxhs,6067.0,7
4,A_G,5986.0,7
5,kotatsugame,5950.0,7
6,arvindf232,5940.0,7
7,Kude,5929.0,7
8,potato167,5881.0,7
9,toniskrijelj,5783.0,7
10,propane,5781.0,7
11,StarSilk,5746.0,7
12,antontrygubO_o,5687.0,7
13,Auroraa_,5665.0,7
14,risujiroh,5572.0,7
15,Rubikun,5539.0,7
16,ymmparsa,5468.0,7
17,nathan_higgs,5259.0,7
18,maspy,5111.0,7
19,golomb,4752.0,7
20,TKT_YI,4738.0,7
21,rgnerdplayer,4698.0,7
22,deoxys1087,4696.0,7
23,wxhtzdy,4691.0,7
24,noya2,4679.0,7
25,Aestivate,4674.0,7
26,sevlll777,4651.0,7
27,ttamx,4648.0,7
28,omsincoconut,4626.0,7
29,siganai,4614.0,7
30,74TrAkToR,4611.0,7
31,Marckess,4599.0,7
32,purupurupururin,4584.0,7
33,ivatopuria,4578.0,7
34,OG_Matveychick1,4574.0,7
35,Daniel081024,4570.0,7
36,farkon00,4563.0,7
37,menborong,4557.0,7
38,Nonoze,4543.0,7
39,isirazeev,4537.0,7
40,liympanda,4536.0,7
41,Hamed_Ghaffari,4535.0,7
42,ApraCadabra,4518.0,7
43,innocentkitten,4514.0,7
44,Umi,4508.0,7
45,Error_Yuan,4498.0,7
45,warner1129,4498.0,7
47,GennadiySosnov,4497.0,7
48,Ronnie007,4494.0,7
49,darkkcyan,4488.0,7
49,Hong_Meiling,4488.0,7
51,kevinyang,4485.0,7
52,becaido,4484.0,7
53,Wael_Zaiback,4476.0,7
54,qingczha,4469.0,7
55,Nika_Tamliani,4460.0,7
56,include_BM,4458.0,7
56,I_am_Domik,4458.0,7
58,Koosa,4452.0,7
59,lrvideckis,4446.0,7
60,top_tree,4445.0,7
61,__baozii__,4444.0,7
62,Edu175,4442.0,7
63,Wizard_of_Orz,4441.0,7
63,ender_shayan,4441.0,7
65,aqxa,4440.0,7
66,Tang__Tang,4436.0,7
67,busamate,4434.0,7
68,_user_,4431.0,7
69,Kev2103,4430.0,7
70,4dalols,4428.0,7
71,Andreasyan,4425.0,7
72,vgoofficial,4424.0,7
73,Rising-coder,4423.0,7
74,Popyk_Andrey,4422.0,7
75,irkstepanov,4418.0,7
76,sonic407,4417.0,7
77,YocyCraft,4416.0,7
78,GOTKAKO,4409.0,7
79,MattTheNub,4405.0,7
80,hakaishin_3181,4401.0,7
80,djm03178,4401.0,7
82,HNO2,4400.0,7
83,n685,4397.0,7
84,Sanada-Masayuki,4392.0,7
85,Nika533,4389.0,7
85,AKSLEGION,4389.0,7
87,Peti,4385.0,7
88,mumuxinfei,4380.0,7
89,kl0989e,4376.0,7
90,HusseinFarhat,4372.0,7
91,Denislav_Manev,4369.0,7
92,Max-324,4366.0,7
92,janY_,4366.0,7
94,t98slider,4363.0,7
94,shorya1835,4363.0,7
96,AIphaMale06,4359.0,7
97,bro_jie,4356.0,7
98,yahia,4354.0,7
99,lmqzzz,4348.0,7
100,DarkestNightmare,4347.0,7
101,Hyperbolic,4345.0,7
102,xfxcy,4344.0,7
103,gortomi,4343.0,7
104,StefanSebez,4341.0,7
105,tassei903,4338.0,7
106,ParsaDox,4336.0,7
107,Lezy233,4334.0,7
108,Sgdd,4333.0,7
108,Z_actuary,4333.0,7
108,AkiLotus,4333.0,7
111,PeRuaDangYeu,4332.0,7
112,MonchIkPonch,4329.0,7
113,fight_for_NoConstructive,4323.0,7
114,Chifwin,4321.0,7
115,Hosen_ba,4318.0,7
116,yishangtanhuan,4316.0,7
117,EnDeRBeaT,4315.0,7
118,ooscode,4313.0,7
119,Dauren_Miras,4310.0,7
120,soumilbansal0005,4306.0,7
121,Mr_Ell,4302.0,7
122,Sofapuden,4298.0,7
123,RakibJoy,4297.0,7
124,towrist,4295.0,7
125,askd,4289.0,7
126,koukanni,4287.0,7
126,kolomig0r,4287.0,7
128,asiad,4281.0,7
129,MikaKoKo,4280.0,7
130,enslaved,4276.0,7
130,lcyxds,4276.0,7
132,andrewtam,4275.0,7
133,sai-17,4274.0,7
134,ProcrastinatorAdEldonia,4271.0,7
134,Microscopic_Dankakon,4271.0,7
136,cmbddl,4269.0,7
137,Trentium,4262.0,7
137,Sugar_fan,4262.0,7
139,Bahamin,4258.0,7
140,timurkn,4256.0,7
141,shiven,4255.0,7
142,rob00,4254.0,7
143,Nullptrs,4250.0,7
144,_tudor_costin_,4248.0,7
145,Final_Track,4247.0,7
145,pera2008,4247.0,7
145,yjf1225,4247.0,7
148,ScottChou,4243.0,7
149,Alexxx,4241.0,7
149,biximo,4241.0,7
151,shrey_gta,4240.0,7
152,_helloLad,4233.0,7
153,Mukundan314,4230.0,7
154,arvindr9,4227.0,7
155,Eslam_Saleh,4222.0,7
156,CaveNightingale,4217.0,7
156,njustbacon,4217.0,7
158,DoHuongGiang,4213.0,7
159,Hygebra,4212.0,7
160,I_HATE_GEOMETRY,4211.0,7
161,dddxyyy,4209.0,7
162,ASahib,4205.0,7
163,Wansur,4197.0,7
164,MINIFISH,4195.0,7
165,shyamer3,4193.0,7
166,CodeforcesADMlN,4192.0,7
166,RabbitPower,4192.0,7
168,N00BGH0ST,4188.0,7
169,jmyszka,4187.0,7
169,hashman,4187.0,7
171,Pekiban,4186.0,7
171,AkibAzmain,4186.0,7
171,KALARRY,4186.0,7
174,DobromirAngelov,4185.0,7
174,STARBOWBREAK6,4185.0,7
176,harasaala,4184.0,7
176,oicourse,4184.0,7
178,YassineBenYounes,4182.0,7
179,KIRIJIJI,4180.0,7
179,FplusFplusF,4180.0,7
181,dmkz,4179.0,7
182,kh0i,4178.0,7
182,crystaI,4178.0,7
184,lto5,4177.0,7
184,willychan,4177.0,7
186,wshcl,4174.0,7
187,pecksniff,4172.0,7
188,_aditya_b,4170.0,7
189,akibb123,4167.0,7
190,fryingduc,4165.0,7
190,notSayeef,4165.0,7
192,Mishutka_221,4164.0,7
192,yukihasui439,4164.0,7
194,yoneking_tw2,4159.0,7
194,best_codeforces_user,4159.0,7
196,ibrahimwq,4157.0,7
197,chinhdeptraiso1vn,4155.0,7
198,oqmsac,4152.0,7
199,arman_ferdous,4151.0,7
199,OldMemory,4151.0,7
201,SoReMore,4150.0,7
201,tloinuy,4150.0,7
203,Atri_My_Dear_Moments,4148.0,7
204,AhmetKaan,4145.0,7
204,vako_P,4145.0,7
204,funuo,4145.0,7
207,GeoCalibur,4144.0,7
208,Ansori,4139.0,7
209,Joey_W,4138.0,7
210,Issa,4137.0,7
211,Ayalla,4135.0,7
212,Firas_Briki,4133.0,7
213,Hello_zoka,4130.0,7
214,December_rain,4129.0,7
214,Divine_Spark,4129.0,7
216,socho,4128.0,7
217,sakib.safwan,4126.0,7
218,zhangeb,4124.0,7
218,XDEv11,4124.0,7
220,fsj-o,4123.0,7
220,alexmcmahon,4123.0,7
222,Hasan0540,4122.0,7
223,H-R-2004,4120.0,7
224,WLZ,4118.0,7
225,Rittin_Sehgal,4117.0,7
226,xly_tyty,4116.0,7
226,Dulustan,4116.0,7
228,ruhan.habib39,4115.0,7
229,Markusssian,4106.0,7
229,Ztin,4106.0,7
231,Abhishek_Srivastava,4105.0,7
232,Danilo21,4104.0,7
233,reil_st,4103.0,7
234,_Gabriel_,4102.0,7
235,hesham,4096.0,7
236,mxqwp,4095.0,7
237,MarioYC,4094.0,7
238,tyoi_ak_master,4093.0,7
238,dabbler1,4093.0,7
240,ssitaram,4090.0,7
241,AHappyPotato,4087.0,7
242,sushmanth.dampur8780,4086.0,7
243,zsc985246,4084.0,7
244,people_plus_plus,4081.0,7
245,MrAndria,4079.0,7
245,binap,4079.0,7
245,Tahirliyev,4079.0,7
248,FzArK,4077.0,7
248,yookwi,4077.0,7
250,nhphuc,4075.0,7
250,Darko1,4075.0,7
252,ponjuice,4072.0,7
253,TheRedStone,4070.0,7
253,TCL,4070.0,7
255,ulorew,4068.0,7
256,Lzy_,4067.0,7
257,Tadfo,4065.0,7
258,ohys040411,4062.0,7
258,Div.5,4062.0,7
258,HieuK,4062.0,7
261,tkt0506tkt,4060.0,7
262,page_fault,4058.0,7
263,Jotinha,4057.0,7
264,hardenisthegoat,4056.0,7
265,Ryazimn,4055.0,7
265,what_a_name,4055.0,7
267,qfl_zzz,4054.0,7
267,Junz_LJL,4054.0,7
269,aucoder123,4051.0,7
269,Sk0rlupka,4051.0,7
269,AsukaSaito,4051.0,7
269,arujbansal,4051.0,7
273,Two_Punch_Man,4050.0,7
274,rm-fr,4049.0,7
275,milind0110,4048.0,7
276,Alpha_Q,4047.0,7
277,xieyijie,4046.0,7
278,Xu_Hongxi,4045.0,7
279,Papaver,4044.0,7
280,gs17005,4043.0,7
281,shhyQAQ,4042.0,7
282,LightSky,4041.0,7
283,O_Oyorz,4040.0,7
284,william950615,4039.0,7
285,Nil2007,4034.0,7
286,Numbering,4032.0,7
287,crap_the_coder,4031.0,7
287,Thomas01,4031.0,7
289,Swayyyy,4030.0,7
290,IC1101,4028.0,7
291,MathGuy1729,4024.0,7
292,hshhh_,4022.0,7
293,Rvess,4017.0,7
293,igeee,4017.0,7
293,MagicalGirl,4017.0,7
293,geeseesee,4017.0,7
297,Jakub_Woxniak,4016.0,7
298,wangck1998,4015.0,7
298,I_FloPPed21,4015.0,7
300,Thomas22,4011.0,7
301,KumaTachiRen,4009.0,7
301,MagnusCarlsen321,4009.0,7
301,Mr.Squidward,4009.0,7
304,ksuksuksu,4007.0,7
305,TrendBattles,4006.0,7
305,Thomas50,4006.0,7
307,lemonilemon,4004.0,7
308,drpav,4002.0,7
309,Alex239,4000.0,7
309,konghaojie,4000.0,7
311,dyktr_06,3998.0,7
312,fw5dasddsa,3996.0,7
313,Kouba64,3995.0,7
313,romarkovets,3995.0,7
315,Sochu,3992.0,7
316,CLegendX,3988.0,7
317,momohara,3984.0,7
317,luckyblock233,3984.0,7
319,hhhyh,3981.0,7
320,hioahda,3980.0,7
320,gqwdfasda,3980.0,7
322,heaven2808h,3977.0,7
322,749291,3977.0,7
322,peacebringer167,3977.0,7
325,Ntd123,3976.0,7
326,m7a1g5i8k8a1r4p0,3973.0,7
327,SuBtitle,3971.0,7
328,t.a7a.ya_masr,3969.0,7
329,thelightinsidehasbroken,3968.0,7
330,I_love_maxaxaxaxa,3966.0,7
331,3.14IQ,3964.0,7
332,Ricki_White,3961.0,7
333,ioghqwed,3960.0,7
334,AlephNullams2008,3959.0,7
335,JakubLap,3956.0,7
335,fishcathu.,3956.0,7
337,jriwdas5d64,3955.0,7
338,MisterReaper,3954.0,7
338,BlankJ,3954.0,7
338,Vlad_Zakh,3954.0,7
341,thekkcpp,3949.0,7
342,lucky__389,3948.0,7
343,-dub-otrezkov-,3947.0,7
344,stdfloat,3946.0,7
344,Fluoresce,3946.0,7
